
path = /scratch/rabin/data/code2vec/transforms/Methods_Test/java-large/test/codefollower__Tomcat-Research/java/org/apache/jasper/compiler/JspUtil_checkScope.java
method_name = checkScope
method_body = public static void checkScope(String scope, Node n, ErrorDispatcher err) throws JasperException { if (scope != null && !scope.equals("page") && !scope.equals("request") && !scope.equals("session") && !scope.equals("application")) { err.jspError(n, "jsp.error.invalid.scope", scope); } }
predict, score, loss = checkScope, 0.48491305, 2.1040912

Trace of simplified code(s):
{"time": "2021-01-23 09:02:56.969358", "n_pass": [1, 1, 1], "score": "0.4849", "loss": "2.1041", "code": "public static void checkScope(String scope, Node n, ErrorDispatcher err) throws JasperException { if (scope != null && !scope.equals(\"page\") && !scope.equals(\"request\") && !scope.equals(\"session\") && !scope.equals(\"application\")) { err.jspError(n, \"jsp.error.invalid.scope\", scope); } }"}
{"time": "2021-01-23 09:02:58.327823", "n_pass": [23, 2, 2], "score": "0.4173", "loss": "3.1633", "code": "public static void checkScope(String scope, Node n, ErrorDispatcher err) throws JasperException { if (scop& !scope.equals(\"request\") && !scope.equals(\"session\") && !scope.equals(\"application\")) { err.jspError(n, \"jsp.error.invalid.scope\", scope); } }"}
{"time": "2021-01-23 09:03:01.024479", "n_pass": [47, 4, 3], "score": "0.3908", "loss": "3.0905", "code": "public static void checkScope(String scope, Node n, ErrorDispatcher err) throws JasperException { if (scop& !scope.equals(\"request\") && !scope && !scope.equals(\"application\")) { err.jspError(n, \"jsp.error.invalid.scope\", scope); } }"}
{"time": "2021-01-23 09:03:02.394169", "n_pass": [50, 5, 4], "score": "0.3908", "loss": "3.0905", "code": "public static void checkScope(String scope, Node n, ErrorDispatcher err) throws JasperException { if (scop& !scope.equals(\"request\") && !scope && !scope.equals(\"application\")) { err.jspError(n, \"jcope\", scope); } }"}
{"time": "2021-01-23 09:03:03.714343", "n_pass": [52, 6, 5], "score": "0.3094", "loss": "3.5918", "code": "d checkScope(String scope, Node n, ErrorDispatcher err) throws JasperException { if (scop& !scope.equals(\"request\") && !scope && !scope.equals(\"application\")) { err.jspError(n, \"jcope\", scope); } }"}
{"time": "2021-01-23 09:03:06.754578", "n_pass": [89, 8, 6], "score": "0.3125", "loss": "3.4547", "code": "d checkScope(String scope,ErrorDispatcher err) throws JasperException { if (scop& !scope.equals(\"request\") && !scope && !scope.equals(\"application\")) { err.jspError(n, \"jcope\", scope); } }"}
{"time": "2021-01-23 09:03:08.102070", "n_pass": [90, 9, 7], "score": "0.3276", "loss": "2.8448", "code": "d checkScope(String scope,atcher err) throws JasperException { if (scop& !scope.equals(\"request\") && !scope && !scope.equals(\"application\")) { err.jspError(n, \"jcope\", scope); } }"}
{"time": "2021-01-23 09:03:10.760042", "n_pass": [99, 11, 8], "score": "0.3313", "loss": "3.495", "code": "d checkScope(String scope,atcher err) throws JasperException { if (scop& !scope.equals(\"request\")  && !scope.equals(\"application\")) { err.jspError(n, \"jcope\", scope); } }"}
{"time": "2021-01-23 09:03:12.089022", "n_pass": [104, 12, 9], "score": "0.3065", "loss": "3.506", "code": "d checkScope(String scope,atcher err) throws JasperException { if (scop& !scope.equals(\"request\")  && !scope.equals(\"application\")) { ror(n, \"jcope\", scope); } }"}
{"time": "2021-01-23 09:03:18.865529", "n_pass": [172, 16, 10], "score": "0.2948", "loss": "3.3797", "code": "d checkScope(String scope,at err) throws JasperException { if (scop& !scope.equals(\"request\")  && !scope.equals(\"application\")) { ror(n, \"jcope\", scope); } }"}
{"time": "2021-01-23 09:03:20.202316", "n_pass": [177, 17, 11], "score": "0.2591", "loss": "3.4059", "code": "d checkScope(String scope,at err) throws Jasxception { if (scop& !scope.equals(\"request\")  && !scope.equals(\"application\")) { ror(n, \"jcope\", scope); } }"}
